San Antonio Spurs,Tim Duncan,183px,-7,180px,null,136px,+11,222px,+1,278px,null
San Antonio Spurs,Danny Green,116px,+1,322px,null,46px,+6,13px,null,138px,+4,111px,null,182px,+3,68px,null
San Antonio Spurs,Kawhi Leonard,163px,-5,132px,null,125px,+15,67px,null,11px,0,168px,+1,126px,null,70px,+7,133px,null
San Antonio Spurs,Tony Parker,81px,-3,16px,null,85px,-8,239px,null,77px,+4,213px,+1,286px,null
San Antonio Spurs,Tiago Splitter,163px,-5,172px,null,103px,+3,59px,null,20px,-2,201px,null,27px,+6,115px,+9,135px,null
San Antonio Spurs,Patrick Mills,85px,null,12px,+4,86px,null,65px,-3,189px,+14,277px,null,31px,+6,182px,+3,68px,null
San Antonio Spurs,Manu Ginobili,119px,null,130px,-11,46px,+1,112px,null,91px,+6,138px,null,111px,+3,45px,+2,203px,null
San Antonio Spurs,Marco Belinelli,170px,null,79px,-5,152px,+14,86px,null,11px,0,175px,null,74px,+6,182px,null,66px,+1
San Antonio Spurs,Boris Diaw,170px,null,79px,-5,108px,+9,81px,null,49px,+6,31px,null,228px,+9,45px,+2,204px,null
San Antonio Spurs,Jeff Ayres,184px,null,66px,-3,82px,+11,600px,null,67px,+1
San Antonio Spurs,Matt Bonner,797px,null,205px,+2
San Antonio Spurs,Aron Baynes,868px,null,134px,-5
San Antonio Spurs,Cory Joseph,868px,null,134px,-5
Cleveland Cavaliers,Luol Deng,249px,+10,113px,null,123px,-11,13px,null,247px,-4,66px,null,99px,+6,86px,null
Cleveland Cavaliers,Spencer Hawes,183px,+7,113px,null,192px,-19,11px,null,212px,-1,101px,null,99px,+6,85px,null
Cleveland Cavaliers,Kyrie Irving,163px,+5,74px,null,11px,+5,249px,-20,221px,-1,25px,null,2px,-3,155px,-3,95px,null
Cleveland Cavaliers,Jarrett Jack,146px,+3,262px,null,80px,-6,11px,null,138px,-4,226px,null,67px,+6,66px,null
Cleveland Cavaliers,Tristan Thompson,204px,+5,132px,null,162px,-9,138px,-4,175px,null,104px,+3,82px,null
Cleveland Cavaliers,Dion Waiters,145px,null,86px,+2,18px,null,158px,-14,80px,null,11px,0,138px,null,110px,-3,115px,-9,133px,null
Cleveland Cavaliers,Matthew Dellavedova,169px,null,79px,+5,51px,-2,187px,null,11px,0,221px,null,27px,-6,59px,-8,95px,null,95px,-1
Cleveland Cavaliers,Tyler Zeller,184px,null,65px,+3,82px,-11,306px,null,111px,-3,60px,-8,189px,null
Cleveland Cavaliers,Anthony Bennett,204px,null,45px,+5,46px,-1,421px,null,31px,-6,59px,-8,104px,null,86px,-2
Cleveland Cavaliers,Alonzo Gee,300px,null,58px,-7,130px,null,11px,0,413px,null,86px,-2
Cleveland Cavaliers,Arinze Onuaku,927px,null,75px,+1
Cleveland Cavaliers,Sergey Karasev,935px,null,67px,-1
