San Antonio Spurs,Aron Baynes,114px,-2,242px,null,141px,0,0px,null,7px,-1,242px,null,184px,+3,66px,null
San Antonio Spurs,Marco Belinelli,169px,-7,80px,null,108px,+2,142px,null,159px,-5,90px,null,249px,+2
San Antonio Spurs,Tim Duncan,169px,-7,47px,null,33px,-4,249px,+2,0px,null,159px,-5,340px,null
San Antonio Spurs,Damion James,114px,-2,58px,null,76px,-2,107px,+2,141px,null,70px,+4,89px,null,90px,+4,66px,+8,122px,null,60px,-1
San Antonio Spurs,Tony Parker,232px,-7,125px,null,141px,0,0px,null,163px,-5,337px,null
San Antonio Spurs,Manu Ginobili,122px,null,127px,-7,108px,null,141px,0,76px,null,174px,-5,249px,null
San Antonio Spurs,Jeff Ayres,122px,null,88px,-3,304px,null,234px,0,189px,null,61px,-1
San Antonio Spurs,Matt Bonner,173px,null,77px,-2,70px,-2,680px,null
San Antonio Spurs,Cory Joseph,238px,null,11px,-2,108px,+2,305px,null,87px,+4,249px,+2
San Antonio Spurs,Boris Diaw,325px,null,174px,+4,160px,null,91px,+4,249px,+2
San Antonio Spurs,Austin Daye,823px,null,113px,-5,65px,null
Houston Rockets,Patrick Beverley,97px,0,152px,null,249px,-2,0px,null,159px,+5,90px,null,250px,-2
Houston Rockets,James Harden,210px,+5,147px,null,141px,0,0px,null,176px,0,119px,null,204px,+1
Houston Rockets,Dwight Howard,169px,+7,188px,null,141px,0,0px,null,159px,+5,162px,null,178px,+6
Houston Rockets,Terrence Jones,249px,+9,108px,null,141px,0,0px,null,249px,+1,72px,null,178px,+6
Houston Rockets,Chandler Parsons,249px,+9,108px,null,141px,0,0px,null,249px,+1,72px,null,178px,+6
Houston Rockets,Jeremy Lin,105px,null,144px,+9,108px,-2,300px,null,90px,-4,46px,-3,204px,null
Houston Rockets,Omer Asik,173px,null,77px,+2,108px,-2,300px,null,90px,-4,66px,-8,183px,null
Houston Rockets,Francisco Garcia,216px,null,33px,+4,108px,-2,318px,null,73px,+1,66px,-8,183px,null
Houston Rockets,Donatas Motiejunas,250px,null,108px,-2,392px,null,67px,-8,182px,null
