Los Angeles Clippers,Matt Barnes,237px,+13,169px,null,94px,-3,158px,-2,341px,null
Los Angeles Clippers,Darren Collison,236px,+13,246px,null,16px,-1,236px,0,139px,null,104px,+3,20px,null
Los Angeles Clippers,Blake Griffin,240px,+13,114px,null,145px,+2,236px,0,95px,null,149px,0,18px,null
Los Angeles Clippers,DeAndre Jordan,236px,+13,88px,null,175px,+2,250px,-1,231px,+5,18px,null
Los Angeles Clippers,J.J. Redick,216px,+9,128px,null,154px,+5,195px,+1,153px,null,131px,+4,20px,null
Los Angeles Clippers,Jamal Crawford,217px,null,32px,+6,0px,null,230px,-1,214px,null,54px,-2,230px,+5,19px,null
Los Angeles Clippers,Jared Dudley,240px,null,9px,+2,0px,null,155px,+1,253px,null,90px,+1,126px,+2,123px,null
Los Angeles Clippers,Ryan Hollins,240px,null,9px,+2,0px,null,70px,-4,660px,null,19px,0
Los Angeles Clippers,Darius Morris,240px,null,9px,+2,0px,null,95px,-7,395px,null,8px,-1,230px,null,19px,0
Los Angeles Clippers,Hedo Turkoglu,239px,null,9px,+2,0px,null,103px,-4,386px,null,8px,-1,82px,+5,149px,null,19px,0
Los Angeles Clippers,Willie Green,750px,null,100px,+1,132px,null,18px,0
Los Angeles Clippers,Reggie Bullock,983px,null,19px,0
Chicago Bulls,D.J. Augustin,249px,-15,116px,null,135px,+1,250px,+1,249px,null
Chicago Bulls,Carlos Boozer,249px,-15,156px,null,94px,+3,250px,+1,250px,null
Chicago Bulls,Jimmy Butler,249px,-15,0px,null,115px,+1,58px,null,76px,+8,249px,+1,168px,-2,81px,null
Chicago Bulls,Mike Dunleavy,192px,-8,173px,null,134px,+1,250px,+1,50px,-9,199px,null
Chicago Bulls,Joakim Noah,191px,-8,153px,null,154px,-5,158px,+2,91px,null,206px,-3,44px,null
Chicago Bulls,Taj Gibson,199px,null,50px,-7,0px,null,155px,-1,253px,null,90px,-1,230px,-5,19px,null
Chicago Bulls,Tony Snell,199px,null,50px,-7,0px,null,169px,-6,380px,null,200px,+4
Chicago Bulls,Mike James,250px,null,115px,+1,385px,null,250px,-5
Chicago Bulls,Nazr Mohammed,250px,null,95px,+7,611px,null,44px,-2
Chicago Bulls,Cartier Martin,921px,null,81px,-3
Chicago Bulls,Erik Murphy,983px,null,19px,0
