Utah Jazz,Derrick Favors,222px,-3,112px,null,165px,+2,232px,-6,110px,null,157px,+1
Utah Jazz,Gordon Hayward,245px,-4,89px,null,165px,+2,202px,-7,88px,null,209px,+1
Utah Jazz,Richard Jefferson,179px,-1,212px,null,108px,+2,148px,-3,339px,null,12px,-1
Utah Jazz,Enes Kanter,160px,-2,112px,null,226px,+6,148px,-3,90px,null,11px,+2,243px,+1,6px,null
Utah Jazz,John Lucas,179px,-1,184px,null,135px,-1,181px,-7,160px,null,144px,+2,2px,null,4px,+3,6px,null
Utah Jazz,Rudy Gobert,161px,null,88px,-4,0px,null,22px,+3,375px,null,54px,-4,297px,null
Utah Jazz,Alec Burks,186px,null,63px,-5,0px,null,141px,+7,255px,null,101px,-1,236px,-1,7px,null,6px,-3
Utah Jazz,Jamaal Tinsley,186px,null,63px,-5,0px,null,114px,+10,317px,null,67px,+3,93px,-3,156px,null
Utah Jazz,Mike Harris,226px,null,22px,-3,0px,null,84px,+7,365px,null,47px,+3,92px,-3,143px,null,2px,-1,4px,null,6px,-3,1px,null
Utah Jazz,Ian Clark,250px,null,85px,+7,367px,null,47px,+3,41px,-3,208px,null
Phoenix Suns,Eric Bledsoe,113px,+3,136px,null,51px,-7,198px,null,182px,+7,89px,null,228px,0
Phoenix Suns,Goran Dragic,249px,+6,51px,null,199px,-2,65px,-5,435px,null
Phoenix Suns,Channing Frye,160px,+2,173px,null,164px,-2,65px,-5,331px,null,70px,+6,20px,null,2px,+1,10px,null
Phoenix Suns,Miles Plumlee,160px,+2,112px,null,226px,-6,181px,+7,160px,null,144px,-2,2px,null,10px,0,0px,null
Phoenix Suns,P.J. Tucker,179px,+1,155px,null,130px,-4,35px,null,215px,+5,127px,null,156px,-1
Phoenix Suns,Gerald Green,120px,null,119px,+2,476px,null,34px,-1,93px,+3,156px,null
Phoenix Suns,Alex Len,160px,null,88px,+4,0px,null,22px,-3,408px,null,67px,-3,93px,+3,158px,null
Phoenix Suns,Markieff Morris,160px,null,88px,+4,0px,null,84px,-7,229px,null,184px,+9,146px,-4,78px,null,26px,0
Phoenix Suns,Marcus Morris,186px,null,63px,+5,0px,null,84px,-7,130px,null,35px,+2,499px,null
Phoenix Suns,Archie Goodwin,244px,null,5px,+1,0px,null,215px,-11,535px,null
Phoenix Suns,Ish Smith,464px,null,35px,+2,182px,null,68px,-3,147px,-4,102px,null
Phoenix Suns,Dionte Christmas,564px,null,185px,+9,21px,+2,126px,null,103px,+6
