Oklahoma City Thunder,Steven Adams,206px,+7,175px,null,46px,-6,72px,null,141px,-5,174px,null,41px,-1,141px,null
Oklahoma City Thunder,Kevin Durant,249px,+8,95px,null,153px,-2,1px,null,247px,-14,1px,null,27px,-4,39px,null,183px,+3
Oklahoma City Thunder,Serge Ibaka,193px,+5,152px,null,152px,-5,503px,null
Oklahoma City Thunder,Thabo Sefolosha,236px,+3,13px,null,0px,0,152px,null,96px,+1,1px,null,161px,-9,120px,null,216px,+1
Oklahoma City Thunder,Russell Westbrook,193px,+5,152px,null,153px,-2,1px,null,187px,-8,128px,null,183px,+3
Oklahoma City Thunder,Nick Collison,192px,null,53px,+3,3px,null,95px,+3,82px,null,41px,0,154px,null,85px,-8,147px,null,142px,+4
Oklahoma City Thunder,Reggie Jackson,193px,null,56px,+3,152px,0,289px,null,56px,-6,1px,null,250px,-3
Oklahoma City Thunder,Hasheem Thabeet,209px,null,37px,+1,3px,null,95px,+3,303px,null,98px,-9,1px,null,60px,-6,189px,null
Oklahoma City Thunder,Jeremy Lamb,238px,null,11px,+5,95px,+3,124px,null,29px,+1,162px,null,86px,-5,1px,null,60px,-6,188px,null
Oklahoma City Thunder,Perry Jones,250px,null,0px,0,131px,+6,619px,null
Oklahoma City Thunder,Ryan Gomes,500px,null,124px,-5,377px,null
Oklahoma City Thunder,Derek Fisher,712px,null,35px,-1,1px,null,60px,-6,191px,null
Los Angeles Clippers,Jared Dudley,193px,-5,152px,null,153px,+2,1px,null,200px,+9,204px,null,94px,+1
Los Angeles Clippers,Blake Griffin,236px,-3,108px,null,153px,+2,1px,null,216px,+13,106px,null,177px,-4
Los Angeles Clippers,DeAndre Jordan,206px,-7,119px,null,161px,+1,12px,null,209px,+13,113px,null,82px,-5,94px,null
Los Angeles Clippers,Chris Paul,211px,-7,37px,null,0px,0,95px,null,153px,+2,1px,null,199px,+9,16px,null,32px,+1,1px,null,245px,+5,2px,null
Los Angeles Clippers,J.J. Redick,143px,-1,105px,null,0px,0,95px,null,105px,+2,48px,null,187px,+8,216px,null,96px,+1
Los Angeles Clippers,Jamal Crawford,143px,null,106px,-7,95px,-3,105px,null,36px,+3,2px,null,9px,-3,192px,null,56px,+6,1px,null,248px,+3
Los Angeles Clippers,Matt Barnes,193px,null,56px,-3,95px,-3,144px,null,8px,0,502px,null
Los Angeles Clippers,Ryan Hollins,209px,null,37px,-1,3px,null,75px,+1,386px,null,35px,+1,1px,null,66px,+7,183px,null
Los Angeles Clippers,Darren Collison,211px,null,37px,-1,95px,-3,353px,null,48px,+5,1px,null,154px,+2,94px,null,2px,-2
Los Angeles Clippers,Byron Mullens,239px,null,7px,-5,3px,null,95px,-3,655px,null
Los Angeles Clippers,Reggie Bullock,700px,null,48px,+5,1px,null,67px,+7,183px,null
