Brooklyn Nets,Kevin Garnett,108px,-7,141px,null,105px,-2,145px,null,76px,-1,423px,null
Brooklyn Nets,Joe Johnson,250px,-9,74px,null,176px,-11,119px,-5,380px,null
Brooklyn Nets,Shaun Livingston,69px,0,181px,null,68px,-4,181px,null,119px,-5,380px,null
Brooklyn Nets,Paul Pierce,209px,-4,115px,null,176px,-11,119px,-5,380px,null
Brooklyn Nets,Deron Williams,209px,-4,115px,null,176px,-11,119px,-5,380px,null
Brooklyn Nets,Andrei Kirilenko,69px,null,181px,-9,68px,-4,682px,null
Brooklyn Nets,Andray Blatche,108px,null,142px,-2,105px,null,145px,-13,499px,null
Brooklyn Nets,Alan Anderson,212px,null,37px,-5,68px,-4,300px,null,125px,+6,5px,null,250px,-21
Brooklyn Nets,Mirza Teletovic,212px,null,37px,-5,68px,-4,300px,null,125px,+6,5px,null,250px,-21
Brooklyn Nets,Marcus Thornton,324px,null,175px,-11,119px,null,125px,+6,5px,null,250px,-21
Brooklyn Nets,Mason Plumlee,581px,null,163px,+2,106px,null,103px,-11,46px,null
Brooklyn Nets,Marquis Teague,619px,null,126px,+6,5px,null,250px,-21
Brooklyn Nets,Jason Collins,750px,null,101px,-8,107px,null,42px,-2
Portland Trail Blazers,Nicolas Batum,209px,+4,146px,null,145px,+13,245px,-1,254px,null
Portland Trail Blazers,Damian Lillard,202px,+2,47px,null,1px,+2,105px,null,144px,+13,244px,-1,254px,null
Portland Trail Blazers,Robin Lopez,198px,+2,51px,null,1px,+2,74px,null,175px,+11,163px,-1,335px,null
Portland Trail Blazers,Wesley Matthews,135px,+1,77px,null,37px,+5,105px,+2,144px,null,193px,-1,56px,null,101px,+8,147px,null
Portland Trail Blazers,Dorell Wright,209px,+4,290px,null,163px,-1,87px,null,146px,+8,103px,null
Portland Trail Blazers,Mo Williams,135px,null,114px,+8,249px,+15,163px,null,81px,0,5px,null,106px,+11,143px,null
Portland Trail Blazers,Victor Claver,197px,null,47px,+5,5px,null,68px,+4,343px,null,81px,0,5px,null,250px,+21
Portland Trail Blazers,C.J. McCollum,202px,null,48px,+7,105px,+2,541px,null,103px,+13
Portland Trail Blazers,Will Barton,212px,null,32px,+3,5px,null,249px,+15,193px,null,51px,0,5px,null,249px,+21
Portland Trail Blazers,Allen Crabbe,853px,null,149px,+13
Portland Trail Blazers,Earl Watson,863px,null,139px,+10
