Washington Wizards,Trevor Ariza,250px,+6,138px,null,112px,+1,248px,+1,123px,null,127px,+3
Washington Wizards,Bradley Beal,179px,+3,70px,null,222px,-6,27px,null,163px,+2,86px,null,250px,+4
Washington Wizards,Trevor Booker,250px,+6,250px,null,245px,+3,4px,null,118px,+1,131px,null
Washington Wizards,Marcin Gortat,227px,+3,135px,null,137px,-2,248px,+1,194px,null,57px,+2
Washington Wizards,John Wall,227px,+3,160px,null,112px,+1,248px,+1,141px,null,110px,0
Washington Wizards,Martell Webster,179px,null,70px,+3,249px,-10,163px,null,85px,-1,1px,null,250px,+4
Washington Wizards,Drew Gooden,234px,null,15px,+3,108px,-8,391px,null,188px,+2,62px,null
Washington Wizards,Andre Miller,233px,null,15px,+3,137px,-11,84px,null,27px,-4,244px,null,3px,-2,1px,null,133px,+4,117px,null
Washington Wizards,Al Harrington,250px,null,138px,-11,613px,null
New York Knicks,Carmelo Anthony,249px,-6,113px,null,136px,+2,248px,-1,1px,null,26px,-5,96px,null,127px,-3
New York Knicks,Tyson Chandler,248px,-6,172px,null,77px,+1,152px,-2,23px,null,69px,+1,143px,null,73px,-3,24px,null,4px,-2,8px,null
New York Knicks,Raymond Felton,215px,-3,207px,null,77px,+1,171px,-4,218px,null,110px,0
New York Knicks,J.R. Smith,195px,-1,54px,null,249px,+10,231px,-1,14px,null,3px,+2,27px,null,223px,+1
New York Knicks,Amar'e Stoudemire,123px,-9,125px,null,166px,+9,82px,null,170px,-4,78px,null,117px,-1,95px,null,24px,+5,4px,null,9px,0
New York Knicks,Iman Shumpert,123px,null,125px,+3,108px,+8,77px,null,62px,+1,152px,null,95px,+1,1px,null,195px,-2,42px,null,4px,-2,8px,null
New York Knicks,Tim Hardaway,194px,null,54px,-5,185px,+9,62px,null,1px,0,230px,null,17px,0,1px,null,132px,-4,62px,null,42px,0,4px,null,7px,0
New York Knicks,Pablo Prigioni,214px,null,35px,-3,166px,+9,258px,null,72px,+3,1px,null,133px,-4,117px,null
