Portland Trail Blazers,LaMarcus Aldridge,165px,+3,177px,null,156px,+7,162px,-5,145px,null,180px,+5,12px,null
Portland Trail Blazers,Nicolas Batum,249px,+6,124px,null,126px,+8,211px,-5,106px,null,182px,+7
Portland Trail Blazers,Damian Lillard,164px,+3,84px,null,123px,+2,54px,null,71px,+4,150px,-3,60px,null,38px,+3,0px,null,57px,-4,95px,null,96px,+4
Portland Trail Blazers,Robin Lopez,126px,0,43px,null,79px,+3,0px,null,92px,+3,99px,null,54px,+4,2px,null,110px,-8,57px,null,80px,+3,0px,null,67px,-6,84px,null,96px,+4
Portland Trail Blazers,Wesley Matthews,184px,+3,158px,null,78px,+3,13px,null,65px,+5,151px,-3,156px,null,180px,+5,10px,null
Portland Trail Blazers,Thomas Robinson,126px,null,92px,+3,153px,null,63px,+1,173px,null,138px,+6,68px,null,85px,+3,90px,null,6px,0
Portland Trail Blazers,Mo Williams,169px,null,79px,+3,0px,null,183px,+5,62px,null,2px,+3,150px,null,98px,+1,0px,null,152px,-3,98px,null
Portland Trail Blazers,Will Barton,184px,null,65px,+3,0px,null,92px,+3,307px,null,98px,+1,0px,null,68px,-6,175px,null,5px,0
Portland Trail Blazers,Dorell Wright,219px,null,30px,+3,0px,null,124px,+2,375px,null,57px,-4,192px,null
Atlanta Hawks,Elton Brand,165px,-3,145px,null,188px,-2,151px,+3,222px,null,115px,-7,11px,null
Atlanta Hawks,DeMarre Carroll,248px,-6,0px,null,32px,-3,130px,null,87px,-5,248px,+2,0px,null,38px,0,212px,null
Atlanta Hawks,Shelvin Mack,165px,-3,116px,null,152px,-2,63px,null,2px,-3,186px,+3,105px,null,207px,-1
Atlanta Hawks,Paul Millsap,197px,-1,213px,null,85px,-2,2px,null,100px,+10,50px,null,98px,-1,0px,null,237px,-1,12px,null
Atlanta Hawks,Jeff Teague,219px,-3,91px,null,188px,-2,249px,+2,124px,null,115px,-7,11px,null
Atlanta Hawks,Mike Muscala,169px,null,79px,-3,0px,null,61px,-8,338px,null,98px,-1,0px,null,123px,+6,119px,null,7px,0
Atlanta Hawks,Louis Williams,169px,null,79px,-3,0px,null,155px,-5,29px,null,65px,-5,190px,null,58px,-1,0px,null,249px,-1
Atlanta Hawks,Mike Scott,197px,null,51px,-5,0px,null,155px,-5,195px,null,50px,-7,341px,null,7px,0
Atlanta Hawks,Dennis Schroder,219px,null,30px,-3,0px,null,61px,-8,437px,null,123px,+6,119px,null,7px,0
